number,PMID,gene,disease,body fluid,sequencing method,experiment,Drug resistance,disease prognosis,characteration of tumors,prospects for detection,metastasis biomarker,therapy,others
271,31900123,APC,Colorectal Cancer,plasma,NGS Illumina NextSeq 500,case report,_,_,_,_,_,FOLFIRI + Bevacizumab,_
272,31900123,TP53,Colorectal Cancer,plasma,NGS Illumina NextSeq 500,case report,_,_,_,_,_,FOLFIRI + Bevacizumab,_
273,31900123,THSD7B,Colorectal Cancer,plasma,NGS Illumina NextSeq 500,case report,_,_,_,_,_,FOLFIRI + Bevacizumab,_
274,25994408,ESR1,Breast Cancer,plasma,NGS,"DNA was extracted from primary and metastatic tumors,PCR amplification and Sanger sequencing,Plasma DNA extraction,Digital fluorescence quantitative PCR analysis,In this study, 0.1% of the mutant copies were considered to be the relevant threshold for distinguishing positive from negative samples",Aromatase inhibitors,_,_,dPCR is a promising tool for biopsy-free and Next Generation Sequencing (NGS)-free monitoring for HR+ metastatic tumors and may assist in determining the treatment strategy.,_,_,_
275,28385781,NRAS,Multiple Myeloma,Serum,WES(The target coverage of > 85 ℅ was achieved for 100% of exonic regions),Mutations of interest were identified in bone marrow biopsies or purified bone marrow plasma cells and subsequently measured in serum by mutation-specific digital droplet polymerase chain reaction (DDPCR) .,_,_,"The concentration of mutated alleles in serum correlated with the fraction in bone marrow plasma cells (r=0.507, n=34, P<0.002).",_,_,_,There was a striking covariation between circulating mutation levels and M protein in ten out of 11 patients with sequential samples.
276,28385781,KRAS,Multiple Myeloma,Serum,WES(The target coverage of > 85 ℅ was achieved for 100% of exonic regions),Mutations of interest were identified in bone marrow biopsies or purified bone marrow plasma cells and subsequently measured in serum by mutation-specific digital droplet polymerase chain reaction (DDPCR) .,_,_,"The concentration of mutated alleles in serum correlated with the fraction in bone marrow plasma cells (r=0.507, n=34, P<0.002).",_,_,_,There was a striking covariation between circulating mutation levels and M protein in ten out of 11 patients with sequential samples.
277,28385781,BRAF,Multiple Myeloma,Serum,WES(The target coverage of > 85 ℅ was achieved for 100% of exonic regions),Mutations of interest were identified in bone marrow biopsies or purified bone marrow plasma cells and subsequently measured in serum by mutation-specific digital droplet polymerase chain reaction (DDPCR) .,_,_,"The concentration of mutated alleles in serum correlated with the fraction in bone marrow plasma cells (r=0.507, n=34, P<0.002).",_,_,_,There was a striking covariation between circulating mutation levels and M protein in ten out of 11 patients with sequential samples.
278,37131253,PREX2,Gastric Cancer,plasma/cerebrospinal fluid,NGS,"In once clinical study,We retrospectively studied 15 patients with GCLM, all of whom had primary tumor tissue samples paired with postLM CSF samples, while 5 patients also had postLM plasma samples. All samples were analyzed using second-generation sequencing (NGS), and their molecular and clinical characteristics correlated with clinical outcomes",_,_,_,_,potential Leptomeningeal metastases(LM) progression-related markers(P = 0.014),_,_
279,37131253,IGF1R,Gastric Cancer,plasma/cerebrospinal fluid,NGS,"In once clinical study,We retrospectively studied 15 patients with GCLM, all of whom had primary tumor tissue samples paired with postLM CSF samples, while 5 patients also had postLM plasma samples. All samples were analyzed using second-generation sequencing (NGS), and their molecular and clinical characteristics correlated with clinical outcomes",_,_,_,_,potential Leptomeningeal metastases(LM) progression-related markers(P = 0.034),_,_
280,37131253,AR,Gastric Cancer,plasma/cerebrospinal fluid,NGS,"In once clinical study,We retrospectively studied 15 patients with GCLM, all of whom had primary tumor tissue samples paired with postLM CSF samples, while 5 patients also had postLM plasma samples. All samples were analyzed using second-generation sequencing (NGS), and their molecular and clinical characteristics correlated with clinical outcomes",_,_,_,_,potential Leptomeningeal metastases(LM) progression-related markers(P = 0.038),_,_
281,33122107,CDK4,Non-Small Cell Lung Cancer,cerebrospinal fluid,NGS,"Patients with EGFR-mutated advanced NSCLC with LM were included: cohort 1, patients with LM who were treated with osimertinib with CSF and plasma genotyping performed before the first dosing of osimertinib (baseline, n = 45); cohort 2, CSF genotyping on progression on osimertinib and development of LM (the progression event on osimertinib is the diagnosis of LM, n = 38). Circulating tumor DNA in CSF underwent next-generation sequencing.",_,"Concurrent CDK4 (2.8 versus 11.6 mo, p = 0.002) and CDKN2A (2.5 versus 9.6 mo, p = 0.04) mutation with EGFR-sensitizing mutations indicated lower median iPFS.",_,_,_,_,_
282,33122107,CDKN2A,Non-Small Cell Lung Cancer,cerebrospinal fluid,NGS,"Patients with EGFR-mutated advanced NSCLC with LM were included: cohort 1, patients with LM who were treated with osimertinib with CSF and plasma genotyping performed before the first dosing of osimertinib (baseline, n = 45); cohort 2, CSF genotyping on progression on osimertinib and development of LM (the progression event on osimertinib is the diagnosis of LM, n = 39). Circulating tumor DNA in CSF underwent next-generation sequencing.",_,"Concurrent CDK4 (2.8 versus 11.6 mo, p = 0.002) and CDKN2A (2.5 versus 9.6 mo, p = 0.04) mutation with EGFR-sensitizing mutations indicated lower median iPFS.",_,_,_,_,_
283,31548343,KRAS,Non-Small Cell Lung Cancer,plasma,ddPCR,Targeted sequencing of cell-free tumor DNA obtained from 289 patients with advanced METex14 mutant NSCLC was performed.,_,_,more common in METex14-mutated NSCLC than in EGFR-mutated NSCLC,_,_,_,_
284,27919627,EGFR,Non-Small Cell Lung Cancer,plasma,NGS,"Patients with platinum-treated metastatic nonsquamous NSCLC were randomly assigned 1:2 to pemetrexed alone (500 mg/m2 provided intravenously on day 1) or pemetrexed followed by erlotinib (150 mg provided orally once daily on days 2每17) every 21 days. EGFR genotype was centrally confirmed by Sequenom multiplex oncogenotyping assay. The primary end point was progression-free survival (PFS), which would be considered promising for future study if median PFS was ≡ 4.5 months.",_,_,_,_,_,pharmacodynamic separation of pemetrexed and intercalated erlotinib had promising antitumor activity without new safety concerns,_
285,34503977,KIT,Gastrointestinal Stromal Tumor,plasma,NGS(Guardant360),Tumor tissue and liquid biopsy samples that captured circulating tumor DNA were collected prior to study enrollment and sequenced using next-generation sequencing. Subgroups were determined by KIT/PDGFRA mutations and correlation of clinical outcomes and KIT/PDGFRA mutational status was assessed.,_,_,_,_,_,Ripretinib,_
286,34503977,PDGFRA,Gastrointestinal Stromal Tumor,plasma,NGS(Guardant360),Tumor tissue and liquid biopsy samples that captured circulating tumor DNA were collected prior to study enrollment and sequenced using next-generation sequencing. Subgroups were determined by KIT/PDGFRA mutations and correlation of clinical outcomes and KIT/PDGFRA mutational status was assessed.,_,_,_,_,_,Ripretinib,_
287,26484608,EGFR,Lung Adenocarcinoma,plasma,_,"One hundred and twelve advanced pulmonary adenocarcinoma patients who were going to receive epidermal growth factor receptor-tyrosine kinase inhibitors (EGFR-TKIs) were included. Tumor tissue and plasma specimens were collected before treatment and analyzed for EGFR mutation and plasma IL-6 and IL-8. Pre-treatment peripheral blood CD146+/CD3- cells (as circulating endothelial cells, CECs), CD34+/CD45- cells (as endothelial progenitor cells, EPCs), and CD133+ cells (as cancer stem cells, CSCs) were measured with flow cytometry.",_,Multivariate analysis showed that mutant plasma EGFR (pEGFR) was a poor prognostic factor in EGFR-mutated patients (p = 0.048),_,_,_,_,_
288,30487126,EGFR,Colorectal Cancer,plasma,NGS,Plasma samples collected from panitumumab-treated patients in the ASPECCT study at baseline and safety follow-up (SFU) were analyzed by a next-generation sequencing每based approach for extended RAS mutant allele frequency as a continuous variable and their association with clinical outcomes and the mutational prevalence of 63 cancer-related genes. The correlation between patient outcome and baseline mutational status of EGFR pathway genes was also examined.,_,"Baseline mutations in EGFR pathway genes, when analyzed both categorically and continuously, were associated with shorter survival.When mutations in EGFR pathway genes were analyzed continuously, higher mutant allele frequency correlated with poorer outcomes. However, extended RAS mutation, by itself, did not preclude clinical responses to panitumumab in a monotherapy setting.",_,_,_,_,_
289,35296442,PIK3CA,Colorectal Cancer,plasma,ARMS-qPCR,"Primary CRC tissue samples and paired plasma samples were collected from 70 patients. After DNA extraction, PCR-direct sequencing was used to screen for mutations in PIK3CA exon 9 and APC exon 15 in tumor tissues. Amplification Refractory Mutation System (ARMS)-quantitative PCR (qPCR) was used to evaluate KRAS codon 12 and 13, BRAF V600E, and PIK3CA exon 9 hotspot mutations.",_,_,The co-existence of KRAS/PIK3CA/APC gene mutations encompassed the highest frequency among all combinations of mutations; PIK3CA mutations were significantly more frequent in older patients.,_,_,_,_
290,35296442,APC,Colorectal Cancer,plasma,ARMS-qPCR,"Primary CRC tissue samples and paired plasma samples were collected from 70 patients. After DNA extraction, PCR-direct sequencing was used to screen for mutations in PIK3CA exon 9 and APC exon 15 in tumor tissues. Amplification Refractory Mutation System (ARMS)-quantitative PCR (qPCR) was used to evaluate KRAS codon 12 and 13, BRAF V600E, and PIK3CA exon 9 hotspot mutations.",_,_,The co-existence of KRAS/PIK4CA/APC gene mutations encompassed the highest frequency among all combinations of mutations.,_,_,_,_
291,35296442,KRAS,Colorectal Cancer,plasma,ARMS-qPCR,"Primary CRC tissue samples and paired plasma samples were collected from 70 patients. After DNA extraction, PCR-direct sequencing was used to screen for mutations in PIK3CA exon 9 and APC exon 15 in tumor tissues. Amplification Refractory Mutation System (ARMS)-quantitative PCR (qPCR) was used to evaluate KRAS codon 12 and 13, BRAF V600E, and PIK3CA exon 9 hotspot mutations.",_,_,The co-existence of KRAS/PIK5CA/APC gene mutations encompassed the highest frequency among all combinations of mutations.,_,_,_,_
292,37101291,PIK3CA,Breast Cancer,plasma,_,"To understand the role of multiple PIK3CAmut in predicting response to p110帢 inhibition, we estimated the clonality of multiple PIK3CAmut in circulating tumor DNA (ctDNA) from patients with HR+/HER2- metastatic breast cancer enrolled to a prospectively registered clinical trial of fulvestrant 簣 taselisib, and analyzed the subgroups against co-altered genes, pathways, and outcomes.",_,patients whose ctDNA harbored clonal multiple PIK3CAmut exhibited a significantly higher response rate and longer progression-free survival vs subclonal multiple PIK3CAmut.,_,_,_,fulvestrant ㊣ taselisib,an important molecular determinant of response to p110汐 inhibition
293,29848757,EGFR,Non-Small Cell Lung Cancer,plasma,dPCR,"In once clinical study,We performed tagged坼amplicon deep sequencing (TAm坼Seq; Forshew et al, 2012) for de novo identification and quantification of mutations in EGFR exons 18每21, coding regions of TP53 and PTEN, and selected hotspot regions of PIK3CA, KRAS and BRAF; and digital PCR for detection and quantification of hotspot mutations in EGFR. For a subset of patients, we also performed shallow whole坼genome sequencing to analyse global copy number changes during treatment",_,Patients with both TP53 and EGFR mutations before treatment had worse overall survival than those with only EGFR Patients who progressed without T790M had worse PFS during TKI continuation,_,_,_,_,_
294,29848757,TP53,Non-Small Cell Lung Cancer,plasma,dPCR,"In once clinical study,We performed tagged坼amplicon deep sequencing (TAm坼Seq; Forshew et al, 2012) for de novo identification and quantification of mutations in EGFR exons 18每21, coding regions of TP53 and PTEN, and selected hotspot regions of PIK3CA, KRAS and BRAF; and digital PCR for detection and quantification of hotspot mutations in EGFR. For a subset of patients, we also performed shallow whole坼genome sequencing to analyse global copy number changes during treatment",_,Patients with both TP53 and EGFR mutations before treatment had worse overall survival than those with only EGFR Patients who progressed without T790M had worse PFS during TKI continuation,_,_,_,_,_
295,36644936,KRAS,Pancreatic Ductal Adenocarcinoma,plasma,ddPCR(QX100),"221 blood samples from 108 PDAC patients (65 curative, 43 palliative) were analyzed. Baseline peripheral and tumor-draining portal venous (PV), postoperative, and follow-up blood were analyzed and correlated with prognosis.",_,"KRAS detection in pre- and postoperative and PV blood were significantly associated with shorter recurrence-free survival (all P < 0.015) and identified as independent prognostic markers. KRAS ctDNA status was also an independent unfavorable prognostic factor for shorter overall survival in both palliative and curative cohorts(hazard ratio [HR] 4.9, P = 0.011; HR 6.9, P = 0.008)",_,_,_,_,_
296,18379354,TP53,Non-Small Cell Lung Cancer,plasma,_,"Plasma samples, adjacent lung tissue, and lung tumor tissue specimens were collected from consecutive patients with stage I-III NSCLC. Blood samples of 66 matched healthy donors with positive smoking history were collected as controls. The plasma DNA amount was determined by real-time PCR. The analysis of MA on chromosome 3p was performed by radiolabeled PCR. p53 Mutations (exons 5, 6, 7, and 8) were detected by PCR-single-strand conformational polymorphism assay.",_,p53 mutations was found to be significantly associated with recurrence of disease (p = 0.026).,_,"MA (microsatellite alterations) and p52 mutations in tumor DNA have a potential prognostic role for disease recurrence in NSCLC patients, and elevated levels of plasma circulating DNA identify patients with possible systemic disease at diagnosis. This might be proposed as an early detection test of disease recurrence.",_,_,_
297,36578946,KRAS,Colorectal Cancer,plasma,NGS,"In this prospective multi-center study, 103 CRC patients eligible for curative-intent surgery were recruited. Genomic DNA from tumor tissue and paired white blood cells were sequenced to profile all tumor-derived somatic mutations in 95 cancer-associated genes. Our bioinformatic algorithm identified top mutations unique for individual patient, which were then used to monitor the presence of circulating tumor DNA (ctDNA) in serial plasma samples.",predictive of resistance to Cetuximab,_,ctDNA appeared to be a more sensitive and reliable signal than CEA to reflect the dynamics of tumor burden.,_,_,_,_
298,36578946,NRAS,Colorectal Cancer,plasma,NGS,"In this prospective multi-center study, 103 CRC patients eligible for curative-intent surgery were recruited. Genomic DNA from tumor tissue and paired white blood cells were sequenced to profile all tumor-derived somatic mutations in 95 cancer-associated genes. Our bioinformatic algorithm identified top mutations unique for individual patient, which were then used to monitor the presence of circulating tumor DNA (ctDNA) in serial plasma samples.",predictive of resistance to Panitumumab,_,ctDNA appeared to be a more sensitive and reliable signal than CEA to reflect the dynamics of tumor burden.,_,_,_,_
299,27312529,BRAF,Colorectal Cancer,plasma,ddPCR Supermix for Probes\GoTaq QPCR Master Mix,_,_,_,_,_,_,"combinations of ERK, BRAF, and EGFR inhibitors",_
300,10080602,KRAS,Pancreatic Cancer,plasma,_,"Forty-four consecutive patients with histologically confirmed primary pancreatic ductal adenocarcinoma were included. A control group of 37 patients with chronic pancreatitis, 10 patients with other tumors of the pancreatic area, nine patients with acute pancreatitis, and four healthy volunteers was also included. Plasma DNA was isolated and K-ras codon-12 mutations were analyzed by means of restriction fragment length polymorphism-polymerase chain reaction and single-strand conformation polymorphism techniques. Patients were followed up to establish their clinical outcome.",_,"Pancreatic carcinoma patients with the mutant-type K-ras gene in plasma DNA exhibited a shorter survival time than patients with the wild-type gene (P<.005), and plasma K-ras mutations were identified as the only independent prognostic factor (odds ratio, 1.51; 95% confidence interval, 1.02 to 2.23).",related to the tumor stage (P = .05),_,mainly in the presence of distant metastases (P = .02),_,_
301,36600247,NARS,Melanoma,plasma,NovaSeq 6000 Illumina,"This was a multicenter phase 1 study. HL-085 was administered twice daily in a standard 3 + 3 dose-escalation design (10 dose cohorts; 0.5-18 mg twice daily), followed by dose expansion at the recommended phase II dose (RP2D). The primary endpoints included tolerability, dose-limiting toxicity (DLT), maximum tolerated dose (MTD) and RP2D.",_,_,_,_,_,HL-085(MEK1/2 inhibitor),_
302,34719670,EGFR,Non-Small Cell Lung Cancer,plasma,NGS,"This phase Ib/II open-label, single-arm, multi-center study investigated the efficacy, safety, biomarker, and resistance mechanisms of mefatinib in the first-line treatment of patients with advanced EGFR-mutant NSCLC. This study included 106 patients with EGFR-mutant stage IIIB-IV NSCLC who received first-line mefatinib at a daily dose of either 60 mg (n = 51) or 80 mg (n = 55). The primary endpoint was progression-free survival (PFS). Secondary endpoints were overall response rate (ORR), disease control rate (DCR), overall survival (OS), and safety",_,"Analyses of mutation profiles were performed using targeted sequencing of plasma samples at baseline, first follow-up 6 weeks from starting mefatinib therapy (F1), and at progression. Patients with concurrent TP53 mutations had comparable PFS as wild-type TP53 (14.0 vs 15.4 months; p = 0.315). Furthermore, circulating tumor DNA clearance was associated with longer PFS (p = 0.040) and OS (p = 0.002).",_,_,_,Mefatinib,_
303,30885342,EGFR,Non-Small Cell Lung Cancer,plasma,_,Forty-five of the 175 patients included in the follow-up analysis experienced progressive disease (PD). Those with PD on first-line erlotinib (n = 24) received gemcitabine/cisplatin while those who failed first-line chemotherapy (n = 21) received erlotinib until second-line PD. The primary endpoint was PFS in the crossover subpopulation. Post-hoc analysis of survival outcomes was also measured for the overall population of 175 Chinese patients.,_,_,_,_,_,"In advanced EGFR mutation-positive NSCLC, first-line erlotinib followed by chemotherapy at progression demonstrated comparable PFS benefit with the inverse treatment sequence, irrespective of mutation subtype. Utilizing both EGFR-TKIs and chemotherapy, irrespective of the sequence, maximizes survival benefits for patients.",_
304,37064137,RAS,Metastatic Colorectal Cancer,plasma,NGS(iSeq platform),"70 patients with stage IV RAS mutant colorectal cancer were prospectively enrolled. Plasma samples were collected at progression from first-line treatment. RAS/BRAF mutations in plasma were assessed by RT-PCR. In RAS/BRAF wild-type samples, ctDNA was used to generate libraries using a 17 genes panel whose alteration has clinical relevance. To investigate the prognostic significance of RAS mutation clearance, test curves for PFS and OS were represented by Kaplan-Meier estimator plot and Log-rank test.",_,Both OS and post-progression survival were longer in patients with "neo-RAS wild-type" compared to those who remained RAS mutant (p<0.001 for both).,_,_,_,_,_
305,36139605,EGFR,Non-Small Cell Lung Cancer,plasma,dPCR,"In this study, we performed a thorough explorative analysis of EGFR-positive NSCLC through NGS profiling of the plasma sample collected upon disease progression of 124 patients in order to characterize the molecular mechanisms via which tumors may progress and to identify the molecular mechanisms underlying different prognoses.",_,_,_,_,_,_,"the detection of the p.T790M mutation was significantly associated with the presence of exon 19 mutations in EGFR (Fisher p-value: 0.028). All KRAS activating mutations (n = 8) were detected in tumors with EGFR mutations in exons 18 and 21 (Fisher p-value < 0.001). Similarly, mutations in NRAS and HRAS were more frequently detected in samples from tumors harboring mutations in exons 18 or 21 (Fisher p-value: 0.050 and Fisher p-value: 0.099, respectively)."
306,31008436,B2M,Colorectal Cancer,plasma,_,"Associations were assessed using Pearson＊s 聿2 test with simulated P value based on 2,000 replicates for low count data. A Cox proportional hazards model was fitted to the data to calculate survival using the covariates of B2M mutation status, age at diagnosis, pathologic stage, MSI status, proximal versus distal status, and KRAS, NRAS, BRAF, and PIK3CA mutation status. These were each assessed through both univariable and multivariable Cox regressions. R survival and survminer software packages were used to perform this analysis (R Foundation, Vienna, Austria).",_,_,_,_,_,immune checkpoint inhibitors (IOs)(programmed death-1 or PD-L1),Microsatellite instability-high
307,35149538,BRCA,Triple Negative Breast Cancer,plasma,_,"Eligible patients had recurrent triple-negative breast cancer (TNBC) or recurrent breast cancer of any subtype with a germline BRCA mutation and were enrolled to a dose-escalation or -expansion cohort. After definition of the RP2D, secondary end points included safety and objective response rate (ORR). Exploratory analyses were performed using circulating-free DNA (cfDNA).",Alpelisib in combination with olaparib,_,_,_,_,_,_
308,32225029,EWSR1,Ewing Sarcoma,plasma,NGS/ddPCR,"In 20 ES patients, ctDNA was evaluated during the treatment by droplet digital PCR (ddPCR) using as a probe the  specific GF variant present in the primary tumor",_,ctDNA was detected in 52.1% of ES patients (EWSR1每ERG n = 5; EWSR1每FLI1 n = 43) and could be associated with lower event-free survival and overall survival. ES patients with metastasis at diagnosis with detectable ctDNA presented inferior event-free survival than patients with no detectable ctDNA.,_,"Fluctuations on the ctDNA of EWSR1 fusion were correlated with response to treatment, ctDNA was reduced after chemotherapy, and early relapse was detected by an increment on the ctDNA levels in patients who later developed metastases. This biomarker was more sensitive in the detection of early relapse and minimal residual disease than PET/SCAN, which represents the current standard method",_,_,_
309,30572461,SMARCA4,Alveolar Soft Part Sarcoma,_,_,case report,_,_,_,_,_,sunitinib,_
310,28498781,PIK3CA,Breast Cancer,blood,NGS,"Pyrotinib was administered continuously, orally, once per day to patients who did not have prior exposure to tyrosine kinase inhibitors of HER2. Planned dose escalation was 80, 160, 240, 320, 400, and 480 mg. For pharmacokinetic analysis, timed blood samples were collected on day 1 and day 28. Next-generation sequencing was performed on circulating tumor DNA and genomic DNA from tumor samples.",pyrotinib: PIK3CA and TP53 mutations in circulating tumor DNA (P = .013) rather than in archival tumor tissues (P = .474) may predict the efficacy of pyrotinib.,_,_,_,_,_,dynamic ctDNA monitoring might contribute to more accurate response assessments; baseline ctDNA profiling might serve as predictive as well as prognostic biomarker of antiHER2 treatment.
311,28498781,TP53,Breast Cancer,blood,NGS,"Pyrotinib was administered continuously, orally, once per day to patients who did not have prior exposure to tyrosine kinase inhibitors of HER2. Planned dose escalation was 80, 160, 240, 320, 400, and 480 mg. For pharmacokinetic analysis, timed blood samples were collected on day 1 and day 28. Next-generation sequencing was performed on circulating tumor DNA and genomic DNA from tumor samples.",pyrotinib: PIK3CA and TP53 mutations in circulating tumor DNA (P = .013) rather than in archival tumor tissues (P = .474) may predict the efficacy of pyrotinib.,_,_,_,_,_,dynamic ctDNA monitoring might contribute to more accurate response assessments; baseline ctDNA profiling might serve as predictive as well as prognostic biomarker of antiHER2 treatment.
312,36895385,CDK12,Prostate Cancer,blood,"NGS(GloriousMed Clinical Laboratory Co., Ltd.)","We retrospectively included  genomic and clinical data from 147 patients with mPC from a single clinical center, with a total of  102 circulating tumor DNA (ctDNA) samples and 60 tissue samples. The frequency of genomic  mutations was analyzed and compared with that in Western cohorts",less responsive to androgen receptor signaling inhibitors (ARSIs),_,_,_,_,_,_
313,36895385,BRCA2,Prostate Cancer,blood,"NGS(GloriousMed Clinical Laboratory Co., Ltd.)","We retrospectively included  genomic and clinical data from 147 patients with mPC from a single clinical center, with a total of  102 circulating tumor DNA (ctDNA) samples and 60 tissue samples. The frequency of genomic  mutations was analyzed and compared with that in Western cohorts",predict PARPi efficacy,_,_,_,_,_,_
314,36895385,PTEN,Prostate Cancer,blood,"NGS(GloriousMed Clinical Laboratory Co., Ltd.)","We retrospectively included  genomic and clinical data from 147 patients with mPC from a single clinical center, with a total of  102 circulating tumor DNA (ctDNA) samples and 60 tissue samples. The frequency of genomic  mutations was analyzed and compared with that in Western cohorts",associated with poorer docetaxel response,_,_,_,_,_,_
315,33569305,TP53,Non-Small Cell Lung Cancer,plasma,NGS,"Between January 2017 and October 2019, advanced NSCLC patients were prospectively  screened with plasma next-generation sequencing (NGS) while included in two trials: VISION  (NCT02864992), using Guardant360  test, and MAGIC (Monitoring Advanced NSCLC through plasma  Genotyping during Immunotherapy: Clinical feasibility and application), using Myriapod NGS-IL 56G  Assay. A control group of patients not receiving ICIs was analyzed.",_,"TP53 mutations in plasma negatively affected OS both in patients treated with ICIs and in control  group (P=0.001 and P=0.009), indicating a prognostic role. The presence of KRAS/STK11 co-mutation and KRAS/STK11/TP53  co-mutation affected OS only in patients treated with ICIs (HR =10.936, 95% CI: 2.337每51.164, P=0.002;  HR =17.609, 95% CI: 3.777每82.089, P<0.001, respectively), indicating a predictive role",_,_,_,_,_
316,33569305,KRAS,Non-Small Cell Lung Cancer,plasma,NGS,"Between January 2017 and October 2019, advanced NSCLC patients were prospectively  screened with plasma next-generation sequencing (NGS) while included in two trials: VISION  (NCT02864992), using Guardant360  test, and MAGIC (Monitoring Advanced NSCLC through plasma  Genotyping during Immunotherapy: Clinical feasibility and application), using Myriapod NGS-IL 56G  Assay. A control group of patients not receiving ICIs was analyzed.",_,"The presence of KRAS/STK11 co-mutation and KRAS/STK11/TP53  co-mutation affected OS only in patients treated with ICIs (HR =10.936, 95% CI: 2.337每51.164, P=0.002;  HR =17.609, 95% CI: 3.777每82.089, P<0.001, respectively), indicating a predictive role",_,_,_,_,_
317,33569305,STK11,Non-Small Cell Lung Cancer,plasma,NGS,"Between January 2017 and October 2019, advanced NSCLC patients were prospectively  screened with plasma next-generation sequencing (NGS) while included in two trials: VISION  (NCT02864992), using Guardant360  test, and MAGIC (Monitoring Advanced NSCLC through plasma  Genotyping during Immunotherapy: Clinical feasibility and application), using Myriapod NGS-IL 56G  Assay. A control group of patients not receiving ICIs was analyzed.",_,"STK11 mutated patients (n=9) showed a trend for  worse OS only if treated with ICIs. The presence of KRAS/STK11 co-mutation and KRAS/STK11/TP53  co-mutation affected OS only in patients treated with ICIs (HR =10.936, 95% CI: 2.337每51.164, P=0.002;  HR =17.609, 95% CI: 3.777每82.089, P<0.001, respectively), indicating a predictive role",_,_,_,_,_
318,36959766,TP53,Prostate Cancer,plasma,_,"mCRPC patients were assessed for response or no response to BAT. Patients with PSA declines of greater than 50% from baseline after 2 or more doses of testosterone were considered to be responders. Whereas, nonresponders had no PSA decline after 2 doses of testosterone and subsequently manifest a PSA increase of >50%. Differences between these two groups of patients were analyzed using clinical and laboratory parameters. All patients underwent genomic testing using circulating tumor DNA (ctDNA) and germline testing pre坼BAT.",_,_,_,_,Duration of prior enzalutamide therapy was longer in responders. Nonresponders were more likely to have bone坼only metastases and responders were more likely to have nodal metastases.,_,"on ctDNA analyses, responders were more likely to have a documented AR amplification (p = 0.045). There was a strong trend toward a TP53 mutations in the ctDNA in the responder group (p = 0.054)."
319,36579573,BRAF,Melanoma,plasma,ddPCR,_,_,ddPCR assays were performed to detect BRAF/NRAS mutations in plasma from 161 stage II/III melanoma patients enrolled in the AVAST-M adjuvant trial. Patients with detectable ctDNA had significantly decreased disease-free and overall survival,_,_,_,_,_
320,36579573,NRAS,Melanoma,plasma,ddPCR,_,_,ddPCR assays were performed to detect BRAF/NRAS mutations in plasma from 161 stage II/III melanoma patients enrolled in the AVAST-M adjuvant trial. Patients with detectable ctDNA had significantly decreased disease-free and overall survival,_,_,_,_,_
321,27975152,KRAS,Pancreatic Cancer,plasma,BEAMing,"Phase I comprised dose escalation, followed by phase II expansion. Refametinib and gemcitabine plasma levels were analyzed for pharmacokinetics. KRAS mutational status was determined from circulating tumor DNA.",Refametinib plus gemcitabine,"OS was greater in patients with wild-type versus mutant KRAS (413 vs 276 days, respectively), suggesting a negative prognostic role for KRAS mutations detected in circulating tumour DNA",_,_,_,_,_
322,36791768,EGFR,Non-Small Cell Lung Cancer,plasma,NGS,"This multicenter clinical trial was conducted in China from June 15, 2018 to May 31, 2019.  A total of 92 NSCLC patients harboring EGFR sensitive mutations were included and  divided into concomitant and non-concomitant groups. Patients in each group were  randomly treated with EGFR-TKI monotherapy or EGFR-TKI combined with pemetrexed in a ratio of 1:1. Progression free survival (PFS) was recorded as the primary endpoint.",_,_,_,_,_,"EGFR-TKI monotherapy is applicable to EGFR sensitive patients without concomitant  alterations, while a TKI combined chemotherapy is applicable to EGFR sensitive  patients with concomitant alterations. CtDNA MRD may be a potential biomarker for  predicting therapeutic efficacy.",_
323,25528496,KRAS,Advanced Or Recurrent Endometrial Carcinoma,plasma,NGS,"This Phase II, multicenter, single-arm, open-label study enrolled patients with histologically confirmed advanced or recurrent endometrial carcinoma, who had received one or two prior chemotherapy regimens. Patients received pilaralisib 600 mg capsules or 400 mg tablets once daily. Primary endpoints were objective response rate (ORR), proportion of patients with progression-free survival (PFS) N6 months and safety. Molecular profiling in archival tumor tissue and circulating tumor DNA were performed to identify molecular markers associated with response or resistance to pilaralisib.",pilaralisib monotherapy demonstrated only minimal antitumor activity (ORR 6%; two CRs and two PRs),_,_,_,_,_,_
324,25528496,PIK3CA,Advanced Or Recurrent Endometrial Carcinoma,plasma,NGS,"This Phase II, multicenter, single-arm, open-label study enrolled patients with histologically confirmed advanced or recurrent endometrial carcinoma, who had received one or two prior chemotherapy regimens. Patients received pilaralisib 600 mg capsules or 400 mg tablets once daily. Primary endpoints were objective response rate (ORR), proportion of patients with progression-free survival (PFS) N6 months and safety. Molecular profiling in archival tumor tissue and circulating tumor DNA were performed to identify molecular markers associated with response or resistance to pilaralisib.",pilaralisib monotherapy demonstrated only minimal antitumor activity (ORR 6%; two CRs and two PRs),_,_,_,_,_,_
325,25528496,BRAF,Advanced Or Recurrent Endometrial Carcinoma,plasma,NGS,"This Phase II, multicenter, single-arm, open-label study enrolled patients with histologically confirmed advanced or recurrent endometrial carcinoma, who had received one or two prior chemotherapy regimens. Patients received pilaralisib 600 mg capsules or 400 mg tablets once daily. Primary endpoints were objective response rate (ORR), proportion of patients with progression-free survival (PFS) N6 months and safety. Molecular profiling in archival tumor tissue and circulating tumor DNA were performed to identify molecular markers associated with response or resistance to pilaralisib.",pilaralisib monotherapy demonstrated only minimal antitumor activity (ORR 6%; two CRs and two PRs),_,_,_,_,_,_
